City,County,Population,Population,SqMi
Alameda,Alameda,"77,048","7,378.70",10.44194777
Albany,Alameda,"19,350","10,822.10",1.788007873
American Canyon,Napa,"20,379","3,351.30",6.080923821
Antioch,Contra Costa,"108,223","3,820.10",28.32988665
Atherton,San Mateo,"7,221","1,435.90",5.028901734
Belmont,San Mateo,"26,947","5,826.40",4.624982837
Belvedere,Marin,"2,135","4,113.70",0.518997496
Benicia,Solano,"27,766","2,147.60",12.92885081
Berkeley,Alameda,"117,753","11,251.00",10.46600302
Brentwood,Contra Costa,"55,826","3,759.10",14.85089516
Brisbane,San Mateo,"4,482","1,447.70",3.095945293
Broadmoor,San Mateo,"4,343","9,629.70",0.45100055
Burlingame,San Mateo,"30,161","6,847.00",4.404994888
Calistoga,Napa,"5,277","2,031.20",2.597971642
Campbell,Santa Clara,"40,872","7,042.00",5.804032945
Capitola,Santa Cruz,"10,134","6,361.60",1.592995473
Clayton,Contra Costa,"11,646","3,032.80",3.840015827
Cloverdale,Sonoma,"8,766","2,887.40",3.035949297
Colma,San Mateo,"1,503",789,1.904942966
Concord,Contra Costa,"126,744","4,149.60",30.54366686
Cotati,Sonoma,"7,424","3,948.90",1.88001722
Cupertino,Santa Clara,"60,564","5,354.40",11.31107127
Daly City,San Mateo,"105,628","13,825.70",7.639974829
Danville,Contra Costa,"43,685","2,416.60",18.0770504
Dixon,Solano,"19,103","2,680.00",7.127985075
Dublin,Alameda,"53,795","3,531.50",15.23290387
East Palo Alto,San Mateo,"29,377","11,722.70",2.505992647
El Cerrito,Contra Costa,"24,485","6,695.40",3.65698838
Emeryville,Alameda,"10,972","8,565.20",1.280997525
Fairfax,Marin,"7,647","3,469.60",2.204000461
Fairfield,Solano,"110,300","2,950.10",37.3885631
Foster City,San Mateo,"32,836","8,650.20",3.795981596
Fremont,Alameda,"227,575","2,937.80",77.46442916
Gilroy,Santa Clara,"52,415","3,247.10",16.14209602
Hayward,Alameda,"153,319","3,375.60",45.41977722
Healdsburg,Sonoma,"11,569","2,595.70",4.456986555
Hercules,Contra Costa,"25,026","3,903.00",6.411990776
Hillsborough,San Mateo,"11,382","1,838.80",6.189906461
Kensington,Contra Costa,"5,281","5,576.60",0.946992791
Lafayette,Contra Costa,"25,355","1,685.10",15.04658477
Livermore,Alameda,"86,147","3,206.50",26.8663652
Los Altos,Santa Clara,"30,256","4,673.50",6.473948861
Los Altos Hills,Santa Clara,"8,408",942.2,8.923795373
Los Gatos,Santa Clara,"30,614","2,741.70",11.16606485
Martinez,Contra Costa,"37,416","2,962.20",12.63115252
Menlo Park,San Mateo,"33,321","3,408.80",9.774994133
Mill Valley,Marin,"14,411","3,025.60",4.76302221
Milpitas,Santa Clara,"70,568","5,196.10",13.58095495
Monte Sereno,Santa Clara,"3,511","2,147.40",1.635000466
Moraga,Contra Costa,"16,953","1,791.10",9.465133158
Morgan Hill,Santa Clara,"41,585","3,261.80",12.74909559
Mountain View,Santa Clara,"78,759","6,567.10",11.99296493
Napa,Napa,"79,572","4,456.60",17.85486694
Newark,Alameda,"44,467","3,204.80",13.87512481
Novato,Marin,"54,756","1,995.30",27.44248985
Oakland,Alameda,"409,994","7,335.30",55.89328316
Oakley,Contra Costa,"38,851","2,447.60",15.87310018
Orinda,Contra Costa,"18,904","1,470.80",12.85286919
Pacifica,San Mateo,"38,925","3,074.20",12.66183072
Palo Alto,Santa Clara,"67,169","2,813.60",23.87297413
Petaluma,Sonoma,"59,803","4,158.20",14.38194411
Piedmont,Alameda,"11,170","6,570.60",1.699996956
Pinole,Contra Costa,"19,034","3,695.90",5.150031116
Pittsburg,Contra Costa,"67,509","3,927.70",17.18792168
Pleasant Hill,Contra Costa,"34,363","4,856.30",7.075963182
Pleasanton,Alameda,"75,060","3,072.80",24.42723249
Redwood City,San Mateo,"81,870","4,208.80",19.45210036
Richmond,Contra Costa,"108,464","3,609.20",30.05208911
Rio Vista,Solano,"7,825","1,179.20",6.635854817
Rohnert Park,Sonoma,"41,535","5,931.00",7.003034901
Ross,Marin,"2,476","1,591.30",1.555960535
St. Helena,Napa,"5,978","1,198.70",4.987069325
San Bruno,San Mateo,"42,787","7,835.00",5.461008296
San Francisco,San Francisco,"850,294","18,132.60",46.89310965
San Jose,Santa Clara,"1,009,679","5,718.30",176.5697847
San Leandro,Alameda,"88,690","6,644.90",13.34707821
San Mateo,San Mateo,"102,082","8,415.70",12.1299476
San Pablo,Contra Costa,"29,831","11,342.60",2.62999665
San Rafael,Marin,"59,292","3,578.90",16.56710162
San Ramon,Contra Costa,"75,049","4,036.80",18.59121086
Santa Clara,Santa Clara,"121,114","6,579.10",18.40890091
Santa Cruz,Santa Cruz,"63,440","4,979.60",12.73997911
Santa Rosa,Sonoma,"172,991","4,189.50",41.29156224
Saratoga,Santa Clara,"31,122","2,493.90",12.47924937
Sausalito,Marin,"7,137","4,029.90",1.771011688
Scotts Valley,Santa Cruz,"11,795","2,554.10",4.618065072
Sebastopol,Sonoma,"7,646","4,110.80",1.859978593
Sonoma,Sonoma,"10,950","3,990.50",2.74401704
South San Francisco,San Mateo,"66,793","7,277.50",9.178014428
Suisun City,Solano,"28,986","7,061.10",4.105026129
Sunnyvale,Santa Clara,"149,384","6,795.40",21.98310622
Tiburon,Marin,"9,232","2,076.50",4.445942692
Union City,Alameda,"73,268","3,776.70",19.4000053
Vacaville,Solano,"94,701","3,336.50",28.38333583
Vallejo,Solano,"119,504","3,896.30",30.67114955
Walnut Creek,Contra Costa,"67,555","3,418.90",19.7592793
Watsonville,Santa Cruz,"52,778","7,891.40",6.688040145
Windsor,Sonoma,"27,350","3,763.10",7.267943982
Yountville,Napa,"2,978","1,945.10",1.531026682