city,Type,County,sq mi,km2
alameda,City,Alameda,10.45,27.1
albany,City,Alameda,1.79,4.6
american canyon,City,Napa,6.09,15.8
antioch,City,Contra Costa,29.17,75.5
atherton,Town,San Mateo,5.02,13
belmont,City,San Mateo,4.63,12
belvedere,City,Marin,0.52,1.3
benicia,City,Solano,12.81,33.2
berkeley,City,Alameda,10.43,27
brentwood,City,Contra Costa,14.87,38.5
brisbane,City,San Mateo,2.99,7.7
burlingame,City,San Mateo,4.39,11.4
calistoga,City,Napa,2.58,6.7
campbell,City,Santa Clara,6.08,15.7
clayton,City,Contra Costa,3.84,9.9
cloverdale,City,Sonoma,3.14,8.1
colma,Town,San Mateo,1.89,4.9
concord,City,Contra Costa,30.55,79.1
corte madera,Town,Marin,3.16,8.2
cotati,City,Sonoma,1.87,4.8
cupertino,City,Santa Clara,11.33,29.3
daly city,City,San Mateo,7.64,19.8
danville,Town,Contra Costa,18.08,46.8
dixon,City,Solano,7.1,18.4
dublin,City,Alameda,15.23,39.4
east palo alto,City,San Mateo,2.53,6.6
el cerrito,City,Contra Costa,3.67,9.5
emeryville,City,Alameda,1.27,3.3
fairfax,Town,Marin,2.23,5.8
fairfield,City,Solano,41.59,107.7
foster city,City,San Mateo,3.79,9.8
fremont,City,Alameda,78.31,202.8
gilroy,City,Santa Clara,16.54,42.8
half moon bay,City,San Mateo,6.24,16.2
hayward,City,Alameda,45.82,118.7
healdsburg,City,Sonoma,4.42,11.4
hercules,City,Contra Costa,6.41,16.6
hillsborough,Town,San Mateo,6.17,16
lafayette,City,Contra Costa,15.02,38.9
larkspur,City,Marin,3,7.8
livermore,City,Alameda,26.45,68.5
los altos,City,Santa Clara,6.54,16.9
los altos hills,Town,Santa Clara,9.03,23.4
los gatos,Town,Santa Clara,11.55,29.9
martinez,City,Contra Costa,12.63,32.7
menlo park,City,San Mateo,9.99,25.9
mill valley,City,Marin,4.78,12.4
millbrae,City,San Mateo,3.27,8.5
milpitas,City,Santa Clara,13.48,34.9
monte sereno,City,Santa Clara,1.63,4.2
moraga,Town,Contra Costa,9.46,24.5
morgan hill,City,Santa Clara,12.94,33.5
mountain view,City,Santa Clara,11.96,31
napa,City,Napa,18.05,46.7
newark,City,Alameda,13.92,36.1
novato,City,Marin,27.48,71.2
oakland,City,Alameda,55.93,144.9
oakley,City,Contra Costa,15.87,41.1
orinda,City,Contra Costa,12.85,33.3
pacifica,City,San Mateo,12.58,32.6
palo alto,City,Santa Clara,24.1,62.4
petaluma,City,Sonoma,14.42,37.3
piedmont,City,Alameda,1.7,4.4
pinole,City,Contra Costa,5.1,13.2
pittsburg,City,Contra Costa,17.68,45.8
pleasant hill,City,Contra Costa,7.08,18.3
pleasanton,City,Alameda,24.14,62.5
portola valley,Town,San Mateo,9.08,23.5
redwood city,City,San Mateo,19.34,50.1
richmond,City,Contra Costa,30.05,77.8
rio vista,City,Solano,6.6,17.1
rohnert park,City,Sonoma,7.29,18.9
ross,Town,Marin,1.56,4
st. helena,City,Napa,4.96,12.8
san anselmo,Town,Marin,2.68,6.9
san bruno,City,San Mateo,5.49,14.2
san carlos,City,San Mateo,5.41,14
san francisco,City and county,San Francisco,46.91,121.5
san jose,City,Santa Clara,178.26,461.7
san leandro,City,Alameda,13.32,34.5
san mateo,City,San Mateo,12.13,31.4
san pablo,City,Contra Costa,2.62,6.8
san rafael,City,Marin,16.59,43
san ramon,City,Contra Costa,18.69,48.4
santa clara,City,Santa Clara,18.28,47.3
santa rosa,City,Sonoma,42.53,110.2
saratoga,City,Santa Clara,12.78,33.1
sausalito,City,Marin,1.76,4.6
sebastopol,City,Sonoma,1.88,4.9
sonoma,City,Sonoma,2.74,7.1
south san francisco,City,San Mateo,9.2,23.8
suisun city,City,Solano,4.01,10.4
sunnyvale,City,Santa Clara,22.06,57.1
tiburon,Town,Marin,4.48,11.6
union city,City,Alameda,19.18,49.7
vacaville,City,Solano,29.87,77.4
vallejo,City,Solano,30.42,78.8
walnut creek,City,Contra Costa,19.76,51.2
windsor,Town,Sonoma,7.44,19.3
woodside,Town,San Mateo,11.47,29.7
yountville,Town,Napa,1.49,3.9